pays 	urbain 	religion 	espvief 	litterat 	pop_aug 	mortbebe 	region 	tx_nais 	tx_mort 	log_pdb 	nais_mor 	fertilit 	log_pop 
RépDominic 	60 	Catho 	70 	83 	1.8 	51.5 	6 	25 	6 	3.01 	4.17 	2.8 	3.89 
Equateur 	56 	Catho 	73 	88 	2 	39 	6 	26 	6 	3.04 	4.33 	3.1 	4.03 
Egypte 	44 	Musulman 	63 	48 	2 	76.4 	5 	29 	9 	2.87 	3.22 	3.8 	4.78 
Salvador 	44 	Catho 	69 	73 	2 	41 	6 	33 	7 	3.03 	4.71 	3.8 	3.76 
Estonie 	72 	Protest 	76 	99 	0.5 	19 	2 	14 	12 	3.78 	1.17 	2 	3.2 
Ethiopie 	12 	Musulman 	54 	24 	3.1 	110 	4 	45 	14 	2.09 	3.21 	6.8 	4.74 
Finlande 	60 	Protest 	80 	100 	0.3 	5.3 	1 	13 	10 	4.2 	1.3 	1.8 	3.71 
France 	73 	Catho 	82 	99 	0.5 	6.7 	1 	13 	9 	4.28 	1.4 	1.8 	4.76 
Gabon 	46 	Catho 	58 	61 	1.5 	94 	4 	28 	14 	3.63 	2 	4 	3.11 
Gambie 	23 	Musulman 	52 	27 	3.1 	124 	4 	46 	16 	2.55 	2.88 	6.3 	2.98 
Géorgie 	56 	Othodoxe 	76 	99 	0.8 	23 	2 	16 	9 	3.65 	1.78 	2.2 	3.74 
Allemagne 	85 	Protest 	79 	99 	0.4 	6.5 	1 	11 	11 	4.24 	1 	1.5 	4.91 
Grèce 	63 	Othodoxe 	80 	93 	0.8 	8.2 	1 	10 	10 	3.91 	1 	1.5 	4.02 
Guatemala 	39 	Catho 	67 	55 	2.6 	57 	6 	35 	8 	3.13 	4.38 	4.8 	4.01 
Haïti 	29 	Catho 	47 	53 	1.6 	109 	6 	40 	19 	2.58 	2.11 	5.9 	3.81 
Honduras 	44 	Catho 	70 	73 	2.7 	45 	6 	35 	6 	3.01 	5.83 	4.9 	3.75 
HongKong 	94 	Bouddh 	80 	77 	-0.1 	5.8 	3 	13 	6 	4.17 	2.17 	1.4 	3.76 
Hongrie 	64 	Catho 	76 	99 	-0.3 	12.5 	2 	12 	13 	3.72 	0.92 	1.8 	4.02 
Islande 	91 	Protest 	81 	100 	1.1 	4 	1 	16 	7 	4.24 	2.29 	2.1 	2.42 
Inde 	26 	Hindou 	59 	52 	1.9 	79 	3 	29 	10 	2.44 	2.9 	4.5 	5.96 
Indonésie 	29 	Musulman 	65 	77 	1.6 	68 	3 	24 	9 	2.83 	2.67 	2.8 	5.3 
Iran 	57 	Musulman 	67 	54 	3.5 	60 	5 	42 	8 	3.18 	5.25 	6.3 	4.82 
Iraq 	72 	Musulman 	68 	60 	3.7 	67 	5 	44 	7 	3.29 	6.29 	6.7 	4.3 
Irlande 	57 	Catho 	78 	98 	0.3 	7.4 	1 	14 	9 	4.09 	1.56 	2 	3.56 
Autre 	92 	Juif 	80 	92 	2.2 	8.6 	5 	21 	7 	4.12 	3 	2.8 	3.73 
Italie 	69 	Catho 	81 	97 	0.2 	7.6 	1 	11 	10 	4.24 	1.1 	1.3 	4.76 
Japon 	77 	Bouddh 	82 	99 	0.3 	4.4 	3 	11 	7 	4.3 	1.57 	1.6 	5.1 
Jordanie 	68 	Musulman 	74 	80 	3.3 	34 	5 	39 	5 	3.06 	7.8 	5.6 	3.6 
Kenya 	24 	Catho 	55 	69 	3.1 	74 	4 	42 	11 	2.51 	3.82 	5.9 	4.45 
Koweït 	96 	Musulman 	78 	73 	5.2 	12.5 	5 	28 	2 	3.83 	14 	4 	3.26 
Lettonie 	71 	Protest 	75 	99 	0.5 	21.5 	2 	14 	12 	3.87 	1.17 	2 	3.43 
Liban 	84 	Musulman 	71 	80 	2 	39.5 	5 	27 	7 	3.16 	3.86 	3.4 	3.56 
Libéria 	45 	Animiste 	57 	40 	3.3 	113 	4 	43 	12 	2.61 	3.58 	6.8 	3.46 
Libya 	82 	Musulman 	65 	64 	3.7 	63 	5 	45 	8 	3.77 	5.63 	6.4 	3.74 
Lithuanie 	69 	Catho 	77 	99 	0.3 	17 	2 	15 	10 	3.83 	1.5 	2 	3.58 
Malaisie 	43 	Musulman 	72 	78 	2.3 	25.6 	3 	29 	5 	3.48 	5.8 	3.5 	4.29 
Mexique 	73 	Catho 	77 	87 	1.9 	35 	6 	28 	5 	3.56 	5.6 	3.2 	4.96 
Maroc 	46 	Musulman 	70 	50 	2.1 	50 	4 	29 	6 	3.03 	4.83 	3.8 	4.46 
CoréeduN 	60 	Bouddh 	73 	99 	1.8 	27.7 	3 	24 	6 	3 	4.36 	2.4 	4.36 
PaysBas 	89 	Catho 	81 	99 	0.6 	6.3 	1 	13 	9 	4.24 	1.44 	1.6 	4.19 
NlleZélande 	84 	Protest 	80 	99 	0.6 	8.9 	1 	16 	8 	4.16 	2 	2 	3.55 
Nicaragua 	60 	Catho 	67 	57 	2.7 	52.5 	6 	35 	7 	2.65 	5 	4.3 	3.61 
Nigéria 	35 	Musulman 	57 	51 	3.1 	75 	4 	44 	12 	2.45 	3.67 	6.4 	4.99 
Norvège 	75 	Protest 	81 	99 	0.4 	6.3 	1 	13 	10 	4.25 	1.3 	2 	3.63 
Oman 	11 	Musulman 	70 	 	3.5 	36.7 	5 	40 	5 	3.87 	8 	6.5 	3.28 
Pakistan 	32 	Musulman 	58 	35 	2.8 	101 	3 	42 	10 	2.61 	4.2 	6.4 	5.11 
Panama 	53 	Catho 	78 	88 	1.9 	16.5 	6 	25 	5 	3.38 	5 	2.9 	3.41 
Paraguay 	48 	Catho 	75 	90 	2.7 	25.2 	6 	33 	5 	3.18 	7.33 	4.3 	3.72 
Pérou 	70 	Catho 	67 	85 	2 	54 	6 	26 	7 	3.04 	3.71 	3.1 	4.37 
Philippines 	43 	Catho 	68 	90 	1.9 	51 	3 	27 	7 	2.94 	3.86 	3.4 	4.84 
Pologne 	62 	Catho 	77 	99 	0.3 	13.8 	2 	14 	10 	3.65 	1.4 	1.9 	4.59 
Portugal 	34 	Catho 	78 	85 	0.4 	9.2 	1 	12 	10 	3.95 	1.2 	1.5 	4.02 
Roumanie 	54 	Othodoxe 	75 	96 	0.1 	20.3 	2 	14 	10 	3.43 	1.4 	1.8 	4.37 
Russie 	74 	Othodoxe 	74 	99 	0.2 	27 	2 	13 	11 	3.82 	1.18 	1.8 	5.17 
Rwanda 	6 	Catho 	46 	50 	2.8 	117 	4 	49 	21 	2.47 	2.33 	8.2 	3.92 
CoréeduS 	72 	Protest 	74 	96 	1 	21.7 	3 	16 	6 	3.82 	2.67 	1.7 	4.65 
ArabSaoud 	77 	Musulman 	70 	62 	3.2 	52 	5 	38 	6 	3.82 	6.33 	6.7 	4.26 
Sénégal 	40 	Musulman 	58 	38 	3.1 	76 	4 	43 	12 	2.87 	3.58 	6.1 	3.94 
Singapour 	100 	Taoïste 	79 	88 	1.2 	5.7 	3 	16 	6 	4.18 	2.67 	1.9 	3.46 
Somalie 	24 	Musulman 	55 	24 	3.2 	126 	4 	46 	13 	3.33 	3.54 	7.3 	3.82 
AfrduSud 	49 	 	68 	76 	2.6 	47.1 	4 	34 	8 	3.5 	4.25 	4.4 	4.64 
Espagne 	78 	Catho 	81 	95 	0.3 	6.9 	1 	11 	9 	4.12 	1.22 	1.4 	4.59 
Suède 	84 	Protest 	81 	99 	0.5 	5.7 	1 	14 	11 	4.23 	1.27 	2.1 	3.94 
Suisse 	62 	Catho 	82 	99 	0.7 	6.2 	1 	12 	9 	4.35 	1.33 	1.6 	3.85 
Syrie 	50 	Musulman 	68 	64 	3.7 	43 	5 	44 	6 	3.39 	7.33 	6.7 	4.17 
Taiwan 	71 	Bouddh 	78 	91 	0.9 	5.1 	3 	15.6 	 	3.85 	 	 	4.32 
Tanzanie 	21 	Animiste 	45 	46 	2.5 	110 	4 	46 	19 	2.42 	2.42 	6.2 	4.47 
Thaïlande 	22 	Bouddh 	72 	93 	1.4 	37 	3 	19 	6 	3.26 	3.17 	2.1 	4.77 
Turquie 	61 	Musulman 	73 	81 	2 	49 	5 	26 	6 	3.57 	4.33 	3.2 	4.79 
EmArabU 	81 	Musulman 	74 	68 	4.8 	22 	5 	28 	3 	4.15 	9.33 	4.5 	3.45 
GB 	89 	Protest 	80 	99 	0.2 	7.2 	1 	13 	11 	4.2 	1.18 	1.8 	4.77 
EU 	75 	Protest 	79 	97 	1 	8.1 	1 	15 	9 	4.37 	1.67 	2.1 	5.42 
Uganda 	11 	Catho 	43 	48 	2.4 	112 	4 	49 	24 	2.51 	2.04 	6.8 	4.3 
Ukraine 	67 	Othodoxe 	75 	97 	0.1 	20.7 	2 	12 	13 	3.37 	0.92 	1.8 	4.71 
Uruguay 	89 	Catho 	77 	96 	0.8 	17 	6 	17 	10 	3.5 	1.7 	2.4 	3.51 
Uzbekistan 	41 	Musulman 	72 	97 	2.1 	53 	5 	30 	7 	3.13 	4.29 	3.7 	4.35 
Vénézuéla 	91 	Catho 	76 	88 	2.2 	28 	6 	26 	5 	3.45 	5.2 	3.1 	4.31 
Vietnam 	20 	Bouddh 	68 	88 	1.8 	46 	3 	27 	8 	2.36 	3.38 	3.3 	4.86 
Zambie 	42 	Protest 	45 	73 	2.8 	85 	4 	46 	18 	2.76 	2.56 	6.7 	3.96 
